//Reference= MNI 
//Kim     2018:VS- Learning    z statistic
//Subjects= 17
28    44    40
-3    -45    33

//Reference= MNI
//Liu     2018:VS- Consumption     Fvalue
//Subjects= 29
-22    -70    -18
38    4    52
-18    -24    14
-14    16    10
2    48    8
8    36    24
56    -30    -14
30    56    32

//Reference= MNI
//Huang     2019:VS- Consumption     z-score
//Subjects= 25
-3    30    18
-9    33    6
63    -12    -3
-24    -66    12
3    39    54
39    -27    9
0    -21    78
42    -24    27
-57    -69    9
-18    -6    -15
9    -18    27
27    3    -27
-18    -60    9

//Reference= MNI 
//Holst     2014:VS- Consumption     ZSCORE
//Subjects= 25
-41    53    -4
-33    -25    20
35    -21    22

//Reference= MNI 
//Chan     2018:VS- consumption     tstat
//Subjects= 38
8    38    28
18    -22    -6

//Reference= MNI 
//Park     2012:VS- learning     tscore
//Subjects= 28
12    48    21
-6    57    21
3    54    -3
-24    36    -12
6    -18    -21
30    36    27
51    -51    27
60    -57    -6
-36    -78    24

//Reference= MNI 
//Fouragnan     2013:Caud- learning     tstat
//Subjects= 20
-40    42    4
38    46    4


//Reference= MNI 
//Pedroni     2011:Nacc (anat)-consumption    tscore 
//Subjects= 16
0    34    12
34    28    -22
-2    -32    -16

//Reference= MNI 
//Seminowicz     2020:NACC-consumption    TSCORE
//Subjects= 21
4    -10    40
14    12    -8
2    18    38
-12    12    0
60    -36    26
30    -20    6
-10    -14    6
18    -10    8
6    30    -17


//Reference= MNI 
//McCormick     2017:VS(anat)- valuation     tscore
//Subjects= 80
0    -10    10
-12    -7    13
-18    -1    -14
18    5    -14
-3    32    28
3    -27    25
6    -10    10
-18    11    7
21    15    -5
-18    -1    -14
0    -40    22
3    32    31

//Reference= MNI 
//Wimmer     2012:VS(?)- learn     zscore
//Subjects= 80
26    18    16

//Reference= MNI 
//van Duijvenvoorde     2014:VS-learning    zscore
//Subjects= 78
-6    30    33
9    -12    51
51    36    24
45    21    -6
42    -9    42
48    -33    48
-45    -45    42
27    -39    60
-21    -66    48
30    -81    24
-39    -69    -15
-6    -75    -27
6    36    45
12    15    33
-48    9    42
51    6    39
36    -21    39
36    -21    -9
-24    -57    54
24    -57    48
9    -78    51
27    -81    24


//Reference= MNI 
//Cao     2019:VS- learning    tscore
//Subjects= 1    510
-21    -91    -5
21    -88    -11
24    -88    7
-9    -73    -2
-21    8    1
6    5    55
21    8    -8
48    -61    16
9    -19    4
-36    41    34
51    2    4
-12    -22    10
-24    53    7
33    41    40
24    -25    55
-57    -22    31
33    -25    13
-39    47    19
6    -46    -14
63    -34    16
-54    -64    19
24    -40    16
-51    -1    40
15    -28    22
-39    -79    19
-30    26    1
9    -37    58
6    -13    -5
51    -49    31
45    -76    22
-24    -55    -8
-30    -25    52
24    -43    -11
-27    20    10
-60    -43    37
63    -16    1
-57    -46    40
21    -52    -11
39    -67    7
63    -10    1
54    5    40
-24    -37    61
3    -31    64
-21    -91    -5
21    -88    -11
-39    -76    -11
24    -88    7
9    -76    -5
-18    8    -2
21    8    -8
54    -58    16
9    -19    4
-9    -22    4
21    -49    -8
-33    41    31
30    38    34
63    -46    22
24    -34    67
-54    -28    28
36    -31    19
60    -34    13
-30    26    10
39    -49    16
27    -13    10
-12    -16    37
-33    -43    58
6    -37    52
-36    -13    -2
-18    -34    40
12    -40    67
-48    -25    40
-39    -61    13
15    -25    40
33    23    19
36    -16    1
12    -19    40
45    -19    4
33    -19    4
-21    35    -11
-45    -49    22
-60    -25    37
18    17    13
54    -37    19
33    -34    43
-60    -40    34
-39    -4    16
-24    -52    55
-57    -31    40


//Reference= MNI 
//Paulus2018:Nacc-consumption    tscore
//Subjects= 34
-34    18    12
10    40    26

//Reference= MNI 
//Chan 2018; Nacc-consumption     tstat
//Subjects= 43
38    28    21
-22    -6    21

//Reference= MNI 
//Duijvenvoorde;left VS-Learning    Z
//Subjects= 75
-6    30    33
9    -12    51
51    36    24
45    21    -6
42    -9    42
48    -33    48
-45    -45    42
27    -39    60
-21    -66    48
30    -81    24
-39    -69    -15
-6    -75    -27

//Reference= MNI 
//Duijvenvoorde;right VS-Learning    Z
//Subjects= 75
6    36    45
12    15    33
-48    9    42
51    6    39
36    -21    39
36    -21    -9
-24    -57    54
24    -57    48
9    -78    51
27    -81    24
-12    -66    -21

//Reference=MNI
//Woogul    2014: Consumption    Fvalue
//Subjects=150
-8    -6    43
-18    -34    48
-54    -8    36
-28    33    30
-60    -28    26
20    -32    64
-66    -6    0

//Reference= MNI
//Kätsyri     2013: Consumption    T
//Subjects= 17
48    2    -10
50    30    14
-18    -54    -36
40    -6    50
42    -34    52
-24    -54    56
22    -74    54
-16    8    0
16    20    8
-38    -78    22

//Reference=MNI
//Passamonti     2009: Consumption
//Subjects=29
32    46    10
46    54    44


